"","recipe_id","category","serving_size_quantity","preparation_time","baking_time","difficulty","type","cooking_skills","age_of_creator","co2emissions","nr_adopters","mean_rating","nr_comments","age_in_weeks"
"1","000eps1k-8fnic-499501-lidg0-h37hgtut","Basics",31,15,114,"advanced",NA,"beginner",31,26,2,3,6,955
"2","001yxtc8-5tihw-336927-vh4dp-udz0yp2h","Main dishes - vegetarian",30,65,49,"advanced","vegan","amateurchef",57,70.84,4,4.25,1,127
"3","004n3rtn-5z83f-578025-0uyqx-hpeyd7jd","Basics",37,5,5,"easy",NA,"chefcook",32,NA,3,4.33333333333333,3,1691
"4","005g538v-9qvm7-445998-5z5g7-l2juvbq9","Main dishes - fish",46,101,18,"medium","fish","beginner",48,368.54,2,3,3,729
"5","006fooy9-xc4z6-649572-39pia-xe4t7gji","Main dishes - others",43,NA,37,"medium","meat","chefcook",67,NA,2,1,5,2210
"6","006qp0ai-v7f0r-666847-5kw3d-y9kdwhqo","Desserts & sweets",5,27,NA,"medium",NA,"advanced",82,518.76,2,2.5,5,2111
"7","008lfd2g-uznh5-657679-xubqk-mi8ka9bg","Basics",37,NA,98,"advanced","vegan","chefcook",-11,997.95,3,1.66666666666667,5,1098
"8","008up6hm-2n1lg-572726-l0hor-9kb5mzyb","Baking - sweet",31,76,NA,"easy",NA,"chefcook",63,599.01,NA,NA,6,1992
"9","00d15wjo-ypt2a-854623-tbmon-1t903aql","Soups",7,48,18,"medium","fish","beginner",64,23.24,NA,NA,6,1940
"10","00gwzbcg-zta3x-167368-n75fh-i8vnypjk","Drinks",38,NA,118,"medium","vegan",NA,24,530.04,NA,NA,4,1395
"11","00hkbfyx-u2jtc-907083-hlx7l-7qz3bk6s",NA,2,34,110,"advanced","fish","chefcook",43,235.62,3,3.66666666666667,4,2212
"12","00jr1wtq-cyhej-314294-zf0o5-apud1vqs",NA,34,44,142,"advanced","fish","amateurchef",72,818.28,NA,NA,7,2182
"13","00kxwp7f-cl8ud-570589-72jeu-ofbll93g","Soups",18,46,53,NA,"fish","beginner",6,751.51,4,3.75,4,2016
"14","00lfomyt-09pdm-089925-jzdj8-5bplomjm","Breads & rolls",35,88,36,"easy","meat",NA,24,568.32,2,3.5,4,619
"15","00lo11vz-puh7u-580836-qddoo-nx28eqrw","Starters",3,126,85,"easy","vegetarian",NA,70,298.07,3,3.33333333333333,4,871
"16","00ow1j6l-vohpg-160230-em4xg-vp8zd6bk","Basics",3,79,NA,"easy","fish",NA,70,739.24,2,3.5,2,2345
"17","00spxfo1-wz9cw-972512-479o2-cya8rom1","Basics",31,11,NA,"advanced","vegan","beginner",21,135.88,1,3,3,1823
"18","00un30gb-lqynw-325679-ykhab-zwx6rv7a","Sauces, dips & spreads",19,NA,113,"easy","fish","chefcook",0,256.8,3,2.33333333333333,4,859
"19","00vbccnw-j562p-088342-0stcy-oz06nv8g",NA,1,115,3,"medium","vegan","beginner",37,427.56,1,3,7,379
"20","00x0iylz-1js02-987702-5agja-1pidvt5g","Main dishes - others",32,11,4,"medium","meat","chefcook",36,NA,1,4,6,2569
"21","00ypyvyw-09vnz-850063-fn9jz-dmxybocq","Baby food",19,12,NA,"easy","fish",NA,1,NA,6,3.33333333333333,4,491
"22","00z7id2s-s4tnj-146146-wkrw9-zgxi1zqc","Baking - sweet",2,84,NA,"easy","fish","chefcook",25,42.21,1,5,9,1599
"23","013maq5r-nm5sv-211128-hssx0-lec8thqr","Desserts & sweets",19,NA,92,"easy","vegetarian","beginner",84,1410.35,NA,NA,5,469
"24","014dttlj-4idni-047458-ng07c-9onjai3v","Basics",NA,82,86,"easy",NA,"amateurchef",11,403.21,NA,NA,5,1589
"25","015ibd23-4nbm0-703383-7qshs-pg6v08sx","Baking - sweet",18,30,13,"advanced","meat","chefcook",53,528.39,1,3,2,1635
"26","017yhmgt-c9vn5-817155-ynnip-r5iox2o5","Sauces, dips & spreads",15,83,144,"advanced","meat","advanced",61,NA,4,3,4,515
